"ig_name","name","followers","following","avg_likes","avg_comments","avg_engagements","est_er"
infoinfobagus,💙 INFO BAGUS 💙,336,0,15.916666666666666,1.1666666666666667,17.083333333333332,5.084325396825397
__radenmuhammad__,Muhammad Rizal Rais,272,264,40.083333333333336,1.1666666666666667,41.25,15.165441176470587
gusti_ayu_dhani,gusti_ayu_dhani,274,369,15.166666666666666,2.0833333333333335,17.25,6.295620437956205
altheaapadilla,aliteya,271,391,10.666666666666666,0.6666666666666666,11.333333333333334,4.1820418204182035
desbi798,Berandal kecil,361,266,12.416666666666666,0.0,12.416666666666666,3.4395198522622343
bobbyabigail,Bobby Abigail,271,220,28.0,0.75,28.75,10.608856088560886
daniel_pasya462,muhammad daniel pasya,274,303,28.0,1.0,29.0,10.583941605839415
_nicanicnics,Veronica Breganza Palentinos,279,253,10.0,0.16666666666666666,10.166666666666666,3.643966547192353
randy_bangsatt,@Randy Ndatt Ndett😁🤙🏻,266,7436,14.416666666666666,0.9166666666666666,15.333333333333334,5.764411027568922
nor7ali,نور علي الزهر,276,981,3.9166666666666665,0.08333333333333333,4.0,1.4492753623188406
iyansihombing77,Iyan Sihombing 🇮🇩,276,267,53.5,4.333333333333333,57.833333333333336,20.954106280193237
rizkizfajar,Rizki Fajar,278,339,54.5,3.5,58.0,20.863309352517987
r.alv.51,r. ALV,277,577,43.166666666666664,0.16666666666666666,43.333333333333336,15.643802647412755
puffandspice,Puff & Spice,282,387,87.58333333333333,9.333333333333334,96.91666666666667,34.367612293144205
chika_didi,Rizka Dinda A(s),281,306,34.166666666666664,2.0,36.166666666666664,12.870699881376039
tobimahendra17,tobi mahendra,280,145,14.666666666666666,0.25,14.916666666666666,5.3273809523809526
gallery.teteh,By dininurafriani,288,97,10.166666666666666,0.5833333333333334,10.75,3.732638888888889
chal_im,Abdul Chalim,283,96,14.2,0.5,14.7,5.19434628975265
kamilakaylaf,Kamila Kayla Fadhila,306,232,70.66666666666667,9.666666666666666,80.33333333333333,26.252723311546845
irullwae,irul,287,532,26.833333333333332,0.9166666666666666,27.75,9.668989547038327
ghierongap,Ghie Rongap,300,2052,7.25,0.16666666666666666,7.416666666666667,2.4722222222222223
jaysaputra122,jay saputra,293,566,8.25,0.6666666666666666,8.916666666666666,3.043230944254835
julaini03,julaini,295,883,13.833333333333334,0.75,14.583333333333334,4.943502824858757
ejhgrph,ejhgrph,305,467,22.333333333333332,2.0833333333333335,24.416666666666668,8.005464480874316
agisthaanggraeni,agistha,289,68,8.0,1.0,9.0,3.1141868512110724
bobby_tobing,Bobby Joseph,298,309,25.333333333333332,3.5,28.833333333333332,9.675615212527964
akmalhirdan,Akmal Alvis,297,282,11.5,0.9166666666666666,12.416666666666666,4.1806958473625135
mogol_tanvan,Mogol_Tanvan,299,1297,5.25,0.08333333333333333,5.333333333333333,1.7837235228539576
novi_nikita_collection,NIKITA,309,375,2.0833333333333335,0.08333333333333333,2.1666666666666665,0.7011866235167207
mimosaforkids,Mimosa Shopping,407,1464,29.166666666666668,1.4166666666666667,30.583333333333332,7.514332514332516
nugra.hadi,Nugra Hadi,307,507,25.75,2.9166666666666665,28.666666666666668,9.337676438653638
akbartriono,akbr.,299,272,134.33333333333334,1.8333333333333333,136.16666666666666,45.54069119286511
markogen,,300,598,69.41666666666667,5.5,74.91666666666667,24.972222222222225
jefriaji__,jefrii__,307,1940,19.25,1.5833333333333333,20.833333333333332,6.7861020629750275
hady9390,Hady,303,1387,27.333333333333332,0.3333333333333333,27.666666666666668,9.13091309130913
